,670,671,672,673,674,675,676,677,678,679,680,681,682,683,684,685,686,687,688,689,690,691,692,693,694,695,696,697,698,699,700,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,731,732,733,734,735,736,737,738,739,740,741,742,743,744,745,746,747,748,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767,768,769,770,771,772,773,774,775,776,777,778,779,780,781,782,783,784,785,786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,808,809,810,811,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,834,835,836,837,838,839,840,841,842,843,844,845,846,847,848,849,850,851,852,853,854,855,856,857,858,859,860,861,862,863,864,865,866,867,868,869,870,871,872,873,874,875,876,877,878,879,880,881,882,883,884,885,886,887,888,889,890,891,892,893,894,895,896,897,898,899,900,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916,917,918,919,920,921,922
0,655.8,656.8,657.9,658.9,659.9,660.9,661.9,662.9,663.9,664.9,665.9,667,668,669,670,671,672,673,674,675,676.1,677.1,678.1,679.1,680.1,681.1,682.1,683.1,684.2,685.2,686.2,687.2,688.2,689.2,690.2,691.2,692.2,693.3,694.3,695.3,696.3,697.3,698.3,699.3,700.3,701.3,702.3,703.4,704.4,705.4,706.4,707.4,708.4,709.4,710.4,711.4,712.5,713.5,714.5,715.5,716.5,717.5,718.5,719.5,720.5,721.5,722.6,723.6,724.6,725.6,726.6,727.6,728.6,729.6,730.6,731.6,732.7,733.7,734.7,735.7,736.7,737.7,738.7,739.7,740.7,741.8,742.8,743.8,744.8,745.8,746.8,747.8,748.8,749.8,750.8,751.8,752.9,753.9,754.9,755.9,756.9,757.9,758.9,759.9,760.9,761.9,762.9,763.9,765,766,767,768,769,770,771.1,772.2,773.4,774.5,775.6,776.8,777.9,779,780.2,781.3,782.4,783.5,784.7,785.8,786.9,788,789,790,791,792.1,793.1,794.1,795.1,796.1,797.1,798.2,799.2,800.2,801.2,802.2,803.2,804.2,805.3,806.3,807.3,808.3,809.3,810.3,811.3,812.3,813.4,814.4,815.4,816.4,817.4,818.4,819.4,820.5,821.5,822.5,823.5,824.5,825.5,826.5,827.6,828.6,829.6,830.6,831.6,832.6,833.6,834.6,835.7,836.7,837.7,838.7,839.7,840.7,841.7,842.7,843.7,844.7,845.7,846.7,847.7,848.7,849.7,850.7,851.7,852.7,853.8,854.8,855.8,856.8,857.8,858.8,859.8,860.8,861.8,862.8,863.8,864.8,865.8,866.8,867.8,868.8,869.8,870.8,871.8,872.8,873.8,874.8,875.8,876.8,877.9,878.9,879.9,880.9,881.9,882.9,883.9,884.9,885.9,886.9,887.9,888.9,889.9,890.9,891.9,892.9,893.9,894.9,895.9,896.9,897.9,898.9,899.9,900.9,901.9,902.9,904,905,906,907,908,909,910,911,912
0.5,656.3,657.3,658.3,659.3,660.3,661.4,662.4,663.4,664.4,665.4,666.4,667.4,668.4,669.4,670.5,671.5,672.5,673.5,674.5,675.5,676.5,677.5,678.6,679.6,680.6,681.6,682.6,683.6,684.6,685.6,686.6,687.6,688.7,689.7,690.7,691.7,692.7,693.7,694.7,695.7,696.7,697.8,698.8,699.8,700.8,701.8,702.8,703.8,704.8,705.8,706.9,707.9,708.9,709.9,710.9,711.9,712.9,713.9,714.9,715.9,716.9,718,719,720,721,722,723,724,725,726,727,728.1,729.1,730.1,731.1,732.1,733.1,734.1,735.1,736.1,737.1,738.2,739.2,740.2,741.2,742.2,743.2,744.2,745.2,746.2,747.2,748.2,749.3,750.3,751.3,752.3,753.3,754.3,755.3,756.3,757.3,758.3,759.3,760.3,761.4,762.4,763.4,764.4,765.4,766.4,767.4,768.4,769.4,770.5,771.6,772.7,773.8,775,776.1,777.2,778.3,779.5,780.6,781.7,782.8,784,785.1,786.2,787.3,788.4,789.4,790.4,791.4,792.4,793.4,794.5,795.5,796.5,797.5,798.5,799.5,800.5,801.6,802.6,803.6,804.6,805.6,806.6,807.6,808.7,809.7,810.7,811.7,812.7,813.7,814.7,815.7,816.8,817.8,818.8,819.8,820.8,821.8,822.8,823.8,824.9,825.9,826.9,827.9,828.9,829.9,830.9,832,833,834,835,836,837,838,839,840,841,842,843.1,844.1,845.1,846.1,847.1,848.1,849.1,850.1,851.1,852.1,853.1,854.1,855.1,856.1,857.1,858.1,859.1,860.1,861.1,862.1,863.1,864.1,865.1,866.1,867.2,868.2,869.2,870.2,871.2,872.2,873.2,874.2,875.2,876.2,877.2,878.2,879.2,880.2,881.2,882.2,883.2,884.2,885.2,886.2,887.2,888.2,889.2,890.2,891.2,892.2,893.2,894.3,895.3,896.3,897.3,898.3,899.3,900.3,901.3,902.3,903.3,904.3,905.3,906.3,907.3,908.3,909.3,910.3,911.3,912.3
1,656.8,657.8,658.8,659.8,660.8,661.8,662.8,663.9,664.9,665.9,666.9,667.9,668.9,669.9,670.9,671.9,673,674,675,676,677,678,679,680,681,682,683.1,684.1,685.1,686.1,687.1,688.1,689.1,690.1,691.1,692.1,693.2,694.2,695.2,696.2,697.2,698.2,699.2,700.2,701.2,702.3,703.3,704.3,705.3,706.3,707.3,708.3,709.3,710.3,711.3,712.4,713.4,714.4,715.4,716.4,717.4,718.4,719.4,720.4,721.4,722.4,723.5,724.5,725.5,726.5,727.5,728.5,729.5,730.5,731.5,732.5,733.6,734.6,735.6,736.6,737.6,738.6,739.6,740.6,741.6,742.6,743.6,744.7,745.7,746.7,747.7,748.7,749.7,750.7,751.7,752.7,753.7,754.7,755.7,756.8,757.8,758.8,759.8,760.8,761.8,762.8,763.8,764.8,765.8,766.8,767.9,768.9,769.9,770.9,772.1,773.2,774.3,775.4,776.5,777.7,778.8,779.9,781,782.1,783.3,784.4,785.5,786.6,787.7,788.7,789.8,790.8,791.8,792.8,793.8,794.8,795.8,796.9,797.9,798.9,799.9,800.9,801.9,802.9,803.9,805,806,807,808,809,810,811,812.1,813.1,814.1,815.1,816.1,817.1,818.1,819.1,820.2,821.2,822.2,823.2,824.2,825.2,826.2,827.2,828.3,829.3,830.3,831.3,832.3,833.3,834.3,835.3,836.4,837.4,838.4,839.4,840.4,841.4,842.4,843.4,844.4,845.4,846.4,847.4,848.4,849.4,850.4,851.4,852.4,853.4,854.4,855.4,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.5,884.5,885.5,886.6,887.6,888.6,889.6,890.6,891.6,892.6,893.6,894.6,895.6,896.6,897.6,898.6,899.6,900.6,901.6,902.6,903.6,904.6,905.6,906.6,907.6,908.6,909.6,910.6,911.6,912.6
1.5,657.3,658.3,659.3,660.3,661.3,662.3,663.3,664.3,665.3,666.3,667.4,668.4,669.4,670.4,671.4,672.4,673.4,674.4,675.4,676.4,677.5,678.5,679.5,680.5,681.5,682.5,683.5,684.5,685.5,686.5,687.6,688.6,689.6,690.6,691.6,692.6,693.6,694.6,695.6,696.7,697.7,698.7,699.7,700.7,701.7,702.7,703.7,704.7,705.7,706.7,707.8,708.8,709.8,710.8,711.8,712.8,713.8,714.8,715.8,716.8,717.8,718.9,719.9,720.9,721.9,722.9,723.9,724.9,725.9,726.9,727.9,729,730,731,732,733,734,735,736,737,738,739,740.1,741.1,742.1,743.1,744.1,745.1,746.1,747.1,748.1,749.1,750.1,751.1,752.1,753.2,754.2,755.2,756.2,757.2,758.2,759.2,760.2,761.2,762.2,763.2,764.3,765.3,766.3,767.3,768.3,769.3,770.3,771.4,772.5,773.6,774.8,775.9,777,778.1,779.2,780.3,781.5,782.6,783.7,784.8,785.9,787,788.1,789.1,790.1,791.1,792.2,793.2,794.2,795.2,796.2,797.2,798.2,799.2,800.3,801.3,802.3,803.3,804.3,805.3,806.3,807.3,808.4,809.4,810.4,811.4,812.4,813.4,814.4,815.4,816.5,817.5,818.5,819.5,820.5,821.5,822.5,823.5,824.6,825.6,826.6,827.6,828.6,829.6,830.6,831.6,832.7,833.7,834.7,835.7,836.7,837.7,838.7,839.7,840.7,841.7,842.7,843.7,844.7,845.7,846.7,847.8,848.8,849.8,850.8,851.8,852.8,853.8,854.8,855.8,856.8,857.8,858.8,859.8,860.8,861.8,862.8,863.8,864.8,865.8,866.8,867.8,868.8,869.8,870.8,871.8,872.8,873.8,874.9,875.9,876.9,877.9,878.9,879.9,880.9,881.9,882.9,883.9,884.9,885.9,886.9,887.9,888.9,889.9,890.9,891.9,892.9,893.9,894.9,895.9,896.9,897.9,898.9,899.9,900.9,901.9,903,904,905,906,907,908,909,910,911,912,913
2,657.7,658.7,659.7,660.8,661.8,662.8,663.8,664.8,665.8,666.8,667.8,668.8,669.8,670.9,671.9,672.9,673.9,674.9,675.9,676.9,677.9,678.9,679.9,681,682,683,684,685,686,687,688,689,690,691.1,692.1,693.1,694.1,695.1,696.1,697.1,698.1,699.1,700.1,701.1,702.2,703.2,704.2,705.2,706.2,707.2,708.2,709.2,710.2,711.2,712.2,713.3,714.3,715.3,716.3,717.3,718.3,719.3,720.3,721.3,722.3,723.4,724.4,725.4,726.4,727.4,728.4,729.4,730.4,731.4,732.4,733.4,734.4,735.5,736.5,737.5,738.5,739.5,740.5,741.5,742.5,743.5,744.5,745.5,746.5,747.5,748.6,749.6,750.6,751.6,752.6,753.6,754.6,755.6,756.6,757.6,758.6,759.7,760.7,761.7,762.7,763.7,764.7,765.7,766.7,767.7,768.7,769.7,770.8,771.9,773,774.1,775.2,776.3,777.5,778.6,779.7,780.8,781.9,783,784.1,785.2,786.3,787.5,788.5,789.5,790.5,791.5,792.5,793.5,794.5,795.6,796.6,797.6,798.6,799.6,800.6,801.6,802.6,803.7,804.7,805.7,806.7,807.7,808.7,809.7,810.7,811.8,812.8,813.8,814.8,815.8,816.8,817.8,818.8,819.9,820.9,821.9,822.9,823.9,824.9,825.9,826.9,827.9,829,830,831,832,833,834,835,836,837,838.1,839.1,840.1,841.1,842.1,843.1,844.1,845.1,846.1,847.1,848.1,849.1,850.1,851.1,852.1,853.1,854.1,855.1,856.1,857.1,858.1,859.1,860.1,861.1,862.1,863.2,864.2,865.2,866.2,867.2,868.2,869.2,870.2,871.2,872.2,873.2,874.2,875.2,876.2,877.2,878.2,879.2,880.2,881.2,882.2,883.2,884.2,885.2,886.2,887.2,888.2,889.2,890.2,891.3,892.3,893.3,894.3,895.3,896.3,897.3,898.3,899.3,900.3,901.3,902.3,903.3,904.3,905.3,906.3,907.3,908.3,909.3,910.3,911.3,912.3,913.3
2.5,658.2,659.2,660.2,661.2,662.2,663.2,664.3,665.3,666.3,667.3,668.3,669.3,670.3,671.3,672.3,673.3,674.4,675.4,676.4,677.4,678.4,679.4,680.4,681.4,682.4,683.4,684.5,685.5,686.5,687.5,688.5,689.5,690.5,691.5,692.5,693.5,694.5,695.6,696.6,697.6,698.6,699.6,700.6,701.6,702.6,703.6,704.6,705.6,706.6,707.7,708.7,709.7,710.7,711.7,712.7,713.7,714.7,715.7,716.7,717.7,718.8,719.8,720.8,721.8,722.8,723.8,724.8,725.8,726.8,727.8,728.8,729.8,730.9,731.9,732.9,733.9,734.9,735.9,736.9,737.9,738.9,739.9,740.9,741.9,742.9,744,745,746,747,748,749,750,751,752,753,754,755.1,756.1,757.1,758.1,759.1,760.1,761.1,762.1,763.1,764.1,765.1,766.1,767.1,768.1,769.2,770.2,771.3,772.4,773.5,774.6,775.7,776.8,777.9,779,780.1,781.2,782.3,783.4,784.5,785.6,786.8,787.8,788.8,789.9,790.9,791.9,792.9,793.9,794.9,795.9,796.9,797.9,799,800,801,802,803,804,805,806,807.1,808.1,809.1,810.1,811.1,812.1,813.1,814.1,815.1,816.2,817.2,818.2,819.2,820.2,821.2,822.2,823.2,824.3,825.3,826.3,827.3,828.3,829.3,830.3,831.3,832.3,833.4,834.4,835.4,836.4,837.4,838.4,839.4,840.4,841.4,842.4,843.4,844.4,845.4,846.4,847.4,848.4,849.4,850.4,851.4,852.4,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.5,879.5,880.5,881.5,882.5,883.6,884.6,885.6,886.6,887.6,888.6,889.6,890.6,891.6,892.6,893.6,894.6,895.6,896.6,897.6,898.6,899.6,900.6,901.6,902.6,903.6,904.6,905.6,906.6,907.6,908.6,909.6,910.6,911.6,912.6,913.6
3,658.7,659.7,660.7,661.7,662.7,663.7,664.7,665.7,666.8,667.8,668.8,669.8,670.8,671.8,672.8,673.8,674.8,675.8,676.8,677.9,678.9,679.9,680.9,681.9,682.9,683.9,684.9,685.9,686.9,687.9,688.9,690,691,692,693,694,695,696,697,698,699,700,701.1,702.1,703.1,704.1,705.1,706.1,707.1,708.1,709.1,710.1,711.1,712.2,713.2,714.2,715.2,716.2,717.2,718.2,719.2,720.2,721.2,722.2,723.2,724.2,725.3,726.3,727.3,728.3,729.3,730.3,731.3,732.3,733.3,734.3,735.3,736.3,737.3,738.4,739.4,740.4,741.4,742.4,743.4,744.4,745.4,746.4,747.4,748.4,749.4,750.5,751.5,752.5,753.5,754.5,755.5,756.5,757.5,758.5,759.5,760.5,761.5,762.5,763.5,764.6,765.6,766.6,767.6,768.6,769.6,770.6,771.7,772.8,773.9,775,776.1,777.2,778.3,779.5,780.6,781.7,782.8,783.9,785,786.1,787.2,788.2,789.2,790.2,791.2,792.2,793.3,794.3,795.3,796.3,797.3,798.3,799.3,800.3,801.3,802.4,803.4,804.4,805.4,806.4,807.4,808.4,809.4,810.4,811.5,812.5,813.5,814.5,815.5,816.5,817.5,818.5,819.6,820.6,821.6,822.6,823.6,824.6,825.6,826.6,827.6,828.6,829.7,830.7,831.7,832.7,833.7,834.7,835.7,836.7,837.7,838.7,839.8,840.8,841.8,842.8,843.8,844.8,845.8,846.8,847.8,848.8,849.8,850.8,851.8,852.8,853.8,854.8,855.8,856.8,857.8,858.8,859.8,860.8,861.8,862.8,863.8,864.8,865.8,866.8,867.8,868.8,869.9,870.9,871.9,872.9,873.9,874.9,875.9,876.9,877.9,878.9,879.9,880.9,881.9,882.9,883.9,884.9,885.9,886.9,887.9,888.9,889.9,890.9,891.9,892.9,893.9,894.9,895.9,896.9,897.9,898.9,899.9,900.9,902,903,904,905,906,907,908,909,910,911,912,913,914
3.5,659.1,660.2,661.2,662.2,663.2,664.2,665.2,666.2,667.2,668.2,669.2,670.2,671.3,672.3,673.3,674.3,675.3,676.3,677.3,678.3,679.3,680.3,681.3,682.3,683.4,684.4,685.4,686.4,687.4,688.4,689.4,690.4,691.4,692.4,693.4,694.4,695.5,696.5,697.5,698.5,699.5,700.5,701.5,702.5,703.5,704.5,705.5,706.6,707.6,708.6,709.6,710.6,711.6,712.6,713.6,714.6,715.6,716.6,717.6,718.6,719.7,720.7,721.7,722.7,723.7,724.7,725.7,726.7,727.7,728.7,729.7,730.7,731.7,732.8,733.8,734.8,735.8,736.8,737.8,738.8,739.8,740.8,741.8,742.8,743.8,744.9,745.9,746.9,747.9,748.9,749.9,750.9,751.9,752.9,753.9,754.9,755.9,756.9,757.9,758.9,760,761,762,763,764,765,766,767,768,769,770,771.1,772.2,773.3,774.4,775.5,776.6,777.7,778.8,779.9,781,782.1,783.2,784.3,785.4,786.5,787.6,788.6,789.6,790.6,791.6,792.6,793.6,794.6,795.6,796.7,797.7,798.7,799.7,800.7,801.7,802.7,803.7,804.7,805.8,806.8,807.8,808.8,809.8,810.8,811.8,812.8,813.8,814.9,815.9,816.9,817.9,818.9,819.9,820.9,821.9,822.9,823.9,825,826,827,828,829,830,831,832,833,834,835.1,836.1,837.1,838.1,839.1,840.1,841.1,842.1,843.1,844.1,845.1,846.1,847.1,848.1,849.1,850.1,851.1,852.1,853.1,854.1,855.1,856.2,857.2,858.2,859.2,860.2,861.2,862.2,863.2,864.2,865.2,866.2,867.2,868.2,869.2,870.2,871.2,872.2,873.2,874.2,875.2,876.2,877.2,878.2,879.2,880.2,881.2,882.2,883.2,884.2,885.2,886.2,887.2,888.2,889.2,890.3,891.3,892.3,893.3,894.3,895.3,896.3,897.3,898.3,899.3,900.3,901.3,902.3,903.3,904.3,905.3,906.3,907.3,908.3,909.3,910.3,911.3,912.3,913.3,914.3
4,659.6,660.6,661.6,662.6,663.7,664.7,665.7,666.7,667.7,668.7,669.7,670.7,671.7,672.7,673.7,674.7,675.8,676.8,677.8,678.8,679.8,680.8,681.8,682.8,683.8,684.8,685.8,686.8,687.9,688.9,689.9,690.9,691.9,692.9,693.9,694.9,695.9,696.9,697.9,698.9,700,701,702,703,704,705,706,707,708,709,710,711,712,713.1,714.1,715.1,716.1,717.1,718.1,719.1,720.1,721.1,722.1,723.1,724.1,725.1,726.1,727.2,728.2,729.2,730.2,731.2,732.2,733.2,734.2,735.2,736.2,737.2,738.2,739.3,740.3,741.3,742.3,743.3,744.3,745.3,746.3,747.3,748.3,749.3,750.3,751.3,752.3,753.3,754.4,755.4,756.4,757.4,758.4,759.4,760.4,761.4,762.4,763.4,764.4,765.4,766.4,767.4,768.5,769.5,770.5,771.6,772.7,773.8,774.8,775.9,777,778.1,779.2,780.3,781.4,782.5,783.6,784.7,785.8,786.9,787.9,788.9,789.9,791,792,793,794,795,796,797,798,799,800.1,801.1,802.1,803.1,804.1,805.1,806.1,807.1,808.1,809.1,810.2,811.2,812.2,813.2,814.2,815.2,816.2,817.2,818.2,819.3,820.3,821.3,822.3,823.3,824.3,825.3,826.3,827.3,828.3,829.3,830.4,831.4,832.4,833.4,834.4,835.4,836.4,837.4,838.4,839.4,840.4,841.4,842.4,843.4,844.4,845.5,846.5,847.5,848.5,849.5,850.5,851.5,852.5,853.5,854.5,855.5,856.5,857.5,858.5,859.5,860.5,861.5,862.5,863.5,864.5,865.5,866.5,867.5,868.5,869.5,870.5,871.5,872.5,873.5,874.5,875.5,876.5,877.5,878.6,879.6,880.6,881.6,882.6,883.6,884.6,885.6,886.6,887.6,888.6,889.6,890.6,891.6,892.6,893.6,894.6,895.6,896.6,897.6,898.6,899.6,900.6,901.6,902.6,903.6,904.6,905.6,906.6,907.6,908.6,909.6,910.6,911.6,912.6,913.7,914.7
